AnimalID,Name,OutcomeType,AnimalType,AgeuponOutcome,Breed,Color,Quality,Sex,HairType,Mix,BreedGroup,MultiColored,Hour,Minute,Second,Year,Month,Day,LifeStage,DayPeriod
A675499,0,0,0,731,31,5,2,1,0,1,0,0,14,20,0,2014,03,28,0,1
A709167,1,3,1,22,1,7,2,0,1,1,1,0,0,0,0,2015,08,11,1,2
A677296,0,2,0,2556,52,5,1,1,0,1,5,0,14,3,0,2014,05,03,0,1
A677635,1,3,1,22,1,15,2,1,1,1,1,0,15,32,0,2014,04,27,1,1
A715797,1,3,1,29,1,7,2,0,1,1,1,0,11,38,0,2015,11,11,1,0
A695663,0,3,1,1461,1,11,0,0,1,1,1,0,16,23,0,2015,01,28,0,1
A702384,0,2,0,1461,89,9,0,0,0,1,1,0,16,29,0,2015,05,16,0,1
A669224,0,2,0,366,5,5,0,0,0,1,1,0,11,5,0,2014,02,25,0,0
A675149,0,0,1,2556,1,7,0,0,1,1,1,0,19,6,0,2014,04,10,0,0
A680921,1,3,1,8,1,7,3,2,1,1,1,0,19,15,0,2014,06,09,1,0
A720888,0,2,0,241,28,5,1,1,0,1,2,0,13,29,0,2016,02,21,1,1
A712186,1,2,1,61,1,7,1,1,1,1,1,0,16,20,0,2015,09,24,1,1
A688327,0,3,0,1461,57,9,0,0,0,1,2,0,18,58,0,2015,09,03,0,0
A700757,0,2,1,61,1,32,0,0,1,1,1,0,18,58,0,2015,05,30,1,0
A667313,0,0,0,731,14,9,1,1,0,1,3,0,14,34,0,2013,11,16,0,1
A717496,0,2,0,1096,82,9,0,0,0,1,3,0,16,13,0,2015,12,18,0,1
A706127,0,2,0,61,37,20,1,1,0,1,5,0,17,18,0,2015,07,29,1,0
A662739,0,3,1,31,1,5,2,0,1,1,1,0,12,42,0,2013,10,05,1,0
A678405,0,2,0,731,48,9,1,1,0,1,7,0,12,31,0,2014,05,19,0,0
A705916,0,2,0,1096,17,5,0,0,0,1,6,0,13,5,0,2015,08,09,0,1
A700277,0,2,0,31,13,8,1,1,0,1,0,0,11,44,0,2015,04,29,1,0
A700242,0,3,0,2556,17,5,2,1,0,1,6,0,12,9,0,2015,04,23,0,0
A668161,1,3,1,22,1,7,2,1,5,1,1,0,15,14,0,2013,11,28,1,1
A708067,1,3,1,15,1,14,2,1,1,1,1,0,14,49,0,2015,07,22,1,1
A683928,1,4,1,731,1,7,1,1,1,1,1,0,11,30,0,2014,07,21,0,0
A680884,0,3,0,731,22,5,1,1,0,1,7,0,14,44,0,2014,06,19,0,1
A693674,0,2,0,366,30,0,1,1,0,1,5,0,18,43,0,2015,01,23,0,0
A694526,0,3,1,241,1,15,1,1,4,0,1,0,13,0,0,2015,01,05,1,1
A703756,0,0,0,1096,2,9,0,0,0,1,1,0,11,39,0,2015,06,07,0,0
A706413,0,2,0,2921,13,0,0,0,0,1,0,0,13,54,0,2015,10,12,0,1
A681110,0,0,0,1096,15,28,0,0,1,1,4,0,17,34,0,2014,06,14,0,0
A706749,1,3,1,366,1,2,2,0,1,1,1,0,9,0,0,2015,07,03,0,0
A707010,0,0,1,731,1,7,0,0,1,1,1,0,17,24,0,2015,07,07,0,0
A696844,0,2,1,731,1,6,2,1,1,1,1,0,14,51,0,2015,02,14,0,1
A699111,0,2,1,61,1,7,0,0,1,1,1,0,13,57,0,2015,05,23,1,1
A708765,0,2,0,366,2,2,0,0,0,1,1,0,14,50,0,2015,08,30,0,1
A636576,1,3,0,366,114,0,0,0,0,1,3,0,12,25,0,2013,12,10,0,0
A672055,1,3,1,1461,1,7,0,0,1,1,1,0,13,54,0,2014,02,04,0,1
A705170,1,3,1,29,1,14,2,1,1,1,1,0,14,35,0,2015,06,14,1,1
A685374,1,3,1,15,1,25,2,1,1,1,1,0,19,23,0,2014,08,06,1,0
A693677,0,2,1,301,1,5,0,0,1,1,1,0,17,21,0,2015,02,11,1,0
A700220,0,2,1,61,1,7,0,0,1,1,1,0,18,49,0,2015,06,17,1,0
A681237,0,0,0,731,2,9,2,1,0,1,1,0,13,45,0,2014,06,24,0,1
A711826,0,2,1,91,1,7,1,1,1,1,1,0,14,11,0,2015,11,10,1,1
A705189,1,0,1,1826,1,5,1,1,1,1,1,0,15,25,0,2015,06,19,0,1
A685208,1,1,1,3651,1,5,0,0,1,1,1,0,13,22,0,2014,08,04,0,1
A677775,1,3,1,7,1,11,2,0,1,1,1,0,13,38,0,2014,04,29,1,1
A691932,0,3,1,61,1,11,0,0,1,1,1,0,12,34,0,2014,11,20,1,0
A690610,0,2,0,241,38,9,0,0,0,1,0,0,16,49,0,2014,10,29,1,1
A696872,0,2,1,4746,1,14,1,1,1,1,1,0,11,42,0,2015,07,28,0,0
A685203,0,2,1,31,1,6,0,0,1,1,1,0,9,8,0,2014,08,27,1,0
A666166,0,1,0,731,30,0,2,0,0,1,5,0,18,28,0,2013,11,22,0,0
A718178,0,3,0,366,2,12,1,1,0,1,1,0,0,0,0,2016,02,21,0,2
A682521,0,2,0,366,15,5,1,1,1,1,4,0,12,42,0,2014,07,07,0,0
A666555,0,2,0,731,15,9,0,0,1,1,4,0,17,41,0,2013,12,14,0,0
A677074,1,2,1,91,1,11,1,1,1,1,1,0,17,45,0,2014,04,23,1,0
A673756,1,3,1,61,1,11,2,0,4,1,1,0,14,44,0,2014,03,02,1,1
A702316,0,2,0,2191,74,4,0,0,1,1,4,0,18,48,0,2015,05,14,0,0
A705034,0,2,0,731,15,17,1,1,1,1,4,0,18,40,0,2015,06,18,0,0
A676668,1,3,1,22,1,7,2,0,1,1,1,0,17,36,0,2014,04,13,1,0
A706096,0,3,1,61,1,9,2,1,1,1,1,0,12,3,0,2015,06,30,1,0
A683704,0,2,1,61,1,5,1,1,1,1,1,0,14,42,0,2014,09,01,1,1
A640516,0,2,0,1096,57,9,0,0,0,0,2,0,12,26,0,2014,01,04,0,0
A675481,1,3,1,4,1,5,2,0,1,1,1,0,13,9,0,2014,03,28,1,1
A695360,0,2,0,366,15,9,0,0,1,1,4,0,14,30,0,2015,01,19,0,1
A682129,1,2,0,1096,15,0,1,1,1,1,4,0,17,58,0,2014,07,06,0,0
A683739,0,3,1,366,1,14,2,1,1,1,1,0,11,14,0,2014,07,25,0,0
A683016,1,1,1,29,1,9,2,0,1,1,1,0,23,20,0,2014,07,05,1,2
A681922,0,2,1,211,1,11,0,0,1,1,1,0,17,56,0,2014,06,29,1,0
A665883,0,3,0,366,15,9,2,1,1,1,4,0,15,49,0,2013,10,28,0,1
A669306,0,0,0,1461,112,5,1,1,0,1,4,0,18,36,0,2015,01,21,0,0
A684458,0,2,1,61,1,7,1,1,1,1,1,0,18,44,0,2014,08,11,1,0
A702137,0,2,1,61,1,11,0,0,1,1,1,0,16,25,0,2015,05,30,1,1
A671681,1,3,1,731,1,5,3,2,4,1,1,0,13,14,0,2014,01,30,0,1
A622351,0,3,0,731,15,0,2,0,1,1,4,0,11,17,0,2014,02,24,0,0
A664308,0,0,0,2191,38,0,2,0,0,1,0,0,18,21,0,2013,10,02,0,0
A648775,0,3,1,366,1,14,1,1,1,1,1,0,14,2,0,2014,11,25,0,1
A671925,0,3,1,366,1,5,0,0,1,1,1,0,15,58,0,2014,02,12,0,1
A680621,1,3,1,8,1,6,2,0,1,1,1,0,17,44,0,2014,06,04,1,0
A701000,0,3,0,3651,52,5,1,1,0,1,5,0,16,45,0,2015,06,01,0,1
A707046,0,1,0,1096,37,9,0,0,0,1,5,0,7,51,0,2016,02,05,0,0
A688270,1,2,0,61,15,12,0,0,1,1,4,0,17,41,0,2014,09,18,1,0
A708855,0,0,1,211,1,5,0,0,1,1,1,0,15,21,0,2016,01,10,1,1
A669942,1,2,0,121,44,5,0,0,0,1,0,0,9,42,0,2014,01,03,1,0
A680696,0,3,1,61,1,5,2,0,1,1,1,0,13,52,0,2014,06,16,1,1
A679098,0,1,0,366,2,0,1,1,0,1,1,0,13,6,0,2015,03,16,0,1
A685417,0,0,1,1461,1,5,0,0,1,1,1,0,11,2,0,2014,08,09,0,0
A686202,0,2,0,241,17,0,0,0,0,1,6,0,12,48,0,2014,08,30,1,0
A682466,1,3,1,4,1,5,2,0,1,1,1,0,13,32,0,2014,06,28,1,1
A720857,0,0,1,731,1,1,1,1,1,1,1,0,11,50,0,2016,02,18,0,0
A676688,0,3,0,2921,15,5,2,1,1,1,4,0,13,11,0,2014,05,14,0,1
A683580,0,0,0,731,15,5,0,0,1,1,4,0,14,9,0,2014,07,12,0,1
A707253,0,3,0,1096,2,34,0,0,0,1,1,0,16,57,0,2016,01,29,0,1
A705331,0,0,0,1096,2,9,1,1,0,1,1,0,13,54,0,2015,06,16,0,1
A693892,0,2,0,1461,15,32,1,1,1,1,4,0,11,53,0,2014,12,30,0,0
A688453,0,2,1,31,1,11,0,0,1,1,1,0,17,40,0,2014,11,14,1,0
A683794,0,3,0,181,17,5,2,0,0,1,6,0,14,29,0,2014,07,16,1,1
A706570,1,3,1,15,1,14,2,1,1,1,1,0,13,58,0,2015,07,03,1,1
A706169,0,0,0,2191,15,9,0,0,1,1,4,0,18,26,0,2015,06,25,0,0
A679362,0,3,0,1461,2,0,1,1,0,1,1,0,12,19,0,2014,06,23,0,0
A688443,0,2,1,121,1,5,1,1,1,1,1,0,15,11,0,2014,12,29,1,1
A677619,0,3,0,241,38,9,0,0,0,1,0,0,17,26,0,2014,12,04,1,0
A675804,1,3,1,15,1,9,3,2,1,1,1,0,12,42,0,2014,04,01,1,0
A664342,0,3,0,366,198,9,2,1,0,1,4,0,12,6,0,2013,10,18,0,0
A701378,0,2,1,61,1,5,0,0,1,0,1,0,18,17,0,2015,06,13,1,0
A674875,0,2,0,731,6,9,2,1,0,1,3,0,12,6,0,2014,03,23,0,0
A677994,0,2,1,366,1,18,1,1,1,1,1,0,13,43,0,2014,07,29,0,1
A675689,0,0,0,731,30,0,1,1,0,1,5,0,11,22,0,2014,04,04,0,0
A715198,1,3,1,61,1,7,2,0,1,0,1,0,13,26,0,2015,11,07,1,1
A714301,0,2,1,151,1,7,1,1,5,1,1,0,17,19,0,2015,10,22,1,0
A714262,0,0,0,731,41,9,2,0,0,0,1,0,19,10,0,2015,10,20,0,0
A663918,0,3,1,2921,1,5,1,1,4,1,1,0,13,7,0,2013,10,15,0,1
A698780,0,2,0,301,2,5,0,0,0,1,1,0,15,4,0,2015,07,20,1,1
A716744,0,0,0,2191,15,9,1,1,1,1,4,0,15,13,0,2015,11,25,0,1
A680447,1,3,1,4,1,5,2,0,1,1,1,0,11,8,0,2014,06,03,1,0
A690797,1,1,1,4381,1,7,2,0,1,1,1,0,12,46,0,2014,10,26,0,0
A669604,0,0,0,366,57,12,2,0,0,1,2,0,17,0,0,2014,01,02,0,0
A691289,0,2,1,91,1,7,1,1,1,1,1,0,16,5,0,2014,11,15,1,1
A670473,0,0,0,731,52,5,0,0,0,1,5,0,13,49,0,2014,01,22,0,1
A668674,0,1,0,241,17,0,0,0,0,1,6,0,17,50,0,2013,12,27,1,0
A694553,1,1,1,1826,1,11,3,2,4,1,1,0,18,35,0,2014,12,30,0,0
A712625,0,2,1,91,1,11,1,1,1,1,1,0,17,21,0,2015,10,05,1,0
A678381,0,3,1,31,1,5,2,0,1,1,1,0,15,16,0,2014,05,13,1,1
A701157,1,3,1,15,29,36,2,1,0,1,1,0,15,53,0,2015,04,24,1,1
A717724,0,3,0,366,13,8,1,1,0,1,0,0,15,47,0,2015,12,19,0,1
A672404,0,3,1,3286,1,18,1,1,1,1,1,0,11,3,0,2014,02,15,0,0
A679886,0,2,0,2921,35,0,1,1,1,1,4,0,12,44,0,2014,10,09,0,0
A683419,0,2,1,3286,1,9,1,1,1,1,1,0,14,26,0,2014,10,19,0,1
A700353,1,3,1,6,29,9,3,2,0,1,1,0,16,21,0,2015,04,12,1,1
A668199,0,3,0,731,2,5,0,0,0,1,1,0,15,31,0,2014,07,12,0,1
A707399,0,0,0,731,15,0,0,0,1,1,4,0,11,24,0,2015,07,14,0,0
A709042,1,3,1,151,1,7,2,0,1,1,1,0,9,0,0,2015,08,05,1,0
A689894,0,3,1,731,1,5,2,0,1,1,1,0,14,54,0,2014,10,26,0,1
A690818,0,2,0,2191,2,2,1,1,0,1,1,0,12,54,0,2014,11,22,0,0
A715735,0,3,0,366,17,20,2,0,0,0,6,0,12,59,0,2015,11,13,0,0
A694551,0,2,0,731,2,13,0,0,0,1,1,0,18,46,0,2015,01,17,0,0
A711132,0,0,0,731,48,9,0,0,0,1,7,0,18,24,0,2015,09,03,0,0
A706918,0,0,0,2921,131,9,1,1,0,0,6,0,15,13,0,2015,07,05,0,1
A705202,0,3,0,731,2,0,0,0,0,1,1,0,15,37,0,2015,06,21,0,1
A677867,0,2,0,366,15,5,1,1,1,1,4,0,17,39,0,2014,05,10,0,0
A702800,1,2,1,241,1,6,0,0,1,1,1,0,16,40,0,2016,02,13,1,1
A664138,0,2,0,1096,22,5,0,0,0,1,7,0,15,10,0,2013,12,21,0,1
A677267,0,0,0,3286,13,0,1,1,0,1,0,0,12,22,0,2014,05,03,0,0
A673731,0,2,0,1096,41,9,1,1,0,1,1,0,17,11,0,2014,06,03,0,0
A697721,0,2,1,1096,1,6,0,0,1,1,1,0,16,57,0,2015,03,08,0,1
A681503,0,3,0,61,44,28,0,0,0,1,0,0,17,6,0,2014,06,22,1,0
A707405,0,0,0,1826,53,4,0,0,0,1,4,0,15,18,0,2015,07,21,0,1
A704676,0,2,0,61,22,16,1,1,6,1,7,0,11,35,0,2015,08,15,1,0
A681211,1,3,0,61,17,5,2,0,0,1,6,0,17,11,0,2014,06,19,1,0
A704634,1,3,1,4,1,9,3,2,1,1,1,0,11,10,0,2015,06,08,1,0
A696665,0,0,0,366,10,5,0,0,2,1,6,0,13,55,0,2015,10,11,0,1
A672795,0,0,0,1461,7,4,0,0,0,1,4,0,14,4,0,2014,02,17,0,1
A703806,0,2,1,91,1,6,1,1,1,1,1,0,12,53,0,2015,08,28,1,0
A671181,1,3,1,1461,1,5,2,0,4,1,1,0,15,15,0,2014,01,21,0,1
A546081,0,2,0,1826,40,9,0,0,0,0,2,0,15,5,0,2014,02,23,0,1
A695470,1,3,1,366,1,9,2,0,1,1,1,0,9,0,0,2015,01,17,0,0
A670248,0,3,1,366,1,5,1,1,1,1,1,0,14,10,0,2014,01,12,0,1
A680129,0,2,1,61,29,24,0,0,0,1,1,0,17,40,0,2014,07,03,1,0
A705124,1,3,1,731,1,5,3,2,1,1,1,0,9,0,0,2015,06,14,0,0
A678692,0,0,0,366,2,4,1,1,0,1,1,0,15,35,0,2014,05,24,0,1
A708422,0,3,1,121,1,7,0,0,1,1,1,0,0,0,0,2015,08,03,1,2
A688278,1,2,0,61,109,42,1,1,1,1,1,0,18,25,0,2014,09,22,1,0
A714541,0,2,0,366,17,5,0,0,0,1,6,0,18,49,0,2015,12,07,0,0
A715106,0,3,1,1461,1,2,1,1,1,1,1,0,0,0,0,2015,11,11,0,2
A694690,1,1,1,2921,1,9,1,1,4,1,1,0,12,21,0,2015,01,06,0,0
A669372,0,3,0,301,85,28,1,1,0,1,4,0,11,53,0,2014,01,26,1,0
A679514,1,3,0,31,30,0,2,0,0,1,5,0,12,6,0,2014,05,25,1,0
A708567,0,3,1,29,1,5,2,0,1,1,1,0,13,22,0,2015,08,02,1,1
A683021,0,2,0,1096,82,12,1,1,0,1,3,0,18,50,0,2014,07,30,0,0
A714534,0,2,1,121,1,9,1,1,1,1,1,0,16,44,0,2015,11,01,1,1
A707162,1,2,1,91,1,14,1,1,1,1,1,0,8,28,0,2015,08,29,1,0
A708718,0,2,0,731,2,0,0,0,0,1,1,0,18,28,0,2015,08,10,0,0
A712111,1,3,1,22,1,11,2,0,1,1,1,0,12,23,0,2015,09,17,1,0
A695223,0,3,1,241,1,9,0,0,1,1,1,0,15,38,0,2015,06,15,1,1
A690290,0,3,0,151,15,5,2,0,1,1,4,0,12,31,0,2014,10,18,1,0
A665786,0,1,1,5476,29,33,0,0,0,1,1,0,18,32,0,2013,10,22,0,0
A717243,0,3,0,2191,15,5,0,0,4,1,4,0,12,4,0,2015,12,28,0,0
A719762,0,0,0,29,2,13,2,1,0,1,1,0,18,37,0,2016,01,28,1,0
A673369,0,2,0,1096,7,2,0,0,0,1,4,0,17,24,0,2014,03,01,0,0
A705294,1,3,0,1461,15,8,2,1,4,1,4,0,0,0,0,2015,06,20,0,2
A713043,0,3,0,1096,15,9,2,1,4,1,4,0,17,11,0,2015,10,16,0,0
A715125,0,0,0,731,17,4,0,0,0,1,6,0,17,33,0,2015,11,03,0,0
A694187,0,2,0,366,17,8,0,0,0,1,6,0,11,33,0,2014,12,27,0,0
A698749,0,2,0,1096,15,9,1,1,1,1,4,0,18,0,0,2015,03,19,0,0
A693864,1,2,0,2556,7,9,0,0,0,1,4,0,18,7,0,2014,12,19,0,0
A678762,0,2,0,2191,92,5,0,0,0,1,4,0,18,52,0,2014,05,14,0,0
A685403,0,3,0,121,57,9,0,0,0,1,2,0,16,8,0,2014,08,14,1,1
A690225,0,0,0,3651,17,5,0,0,0,1,6,0,18,43,0,2014,10,16,0,0
A637559,0,0,0,1096,2,2,2,0,0,0,1,0,15,52,0,2015,03,27,0,1
A668706,0,3,1,151,1,9,0,0,1,1,1,0,12,13,0,2013,12,17,1,0
A679653,1,2,1,61,1,2,0,0,5,1,1,0,17,29,0,2014,05,28,1,0
A695274,1,2,0,91,61,5,1,1,7,1,1,0,18,45,0,2015,01,16,1,0
A705141,0,3,1,31,1,5,2,0,1,1,1,0,12,57,0,2015,06,22,1,0
A670191,0,3,0,1826,17,5,0,0,0,1,6,0,11,47,0,2014,01,18,0,0
A717448,0,2,0,366,21,4,0,0,0,1,0,0,16,53,0,2015,12,26,0,1
A700318,0,3,0,2191,2,12,0,0,0,1,1,0,11,21,0,2015,07,01,0,0
A699517,0,2,0,731,7,4,0,0,0,1,4,0,17,30,0,2015,04,01,0,0
A706608,0,2,0,31,44,17,2,0,0,1,0,0,11,47,0,2015,07,15,1,0
A678731,0,0,0,366,17,5,0,0,0,1,6,0,18,21,0,2014,05,19,0,0
A515049,0,2,0,2191,2,8,0,0,0,1,1,0,12,9,0,2015,03,08,0,0
A686558,0,2,0,731,5,9,0,0,0,1,1,0,15,21,0,2014,10,18,0,1
A709666,0,0,0,2191,38,4,0,0,0,1,0,0,18,59,0,2015,08,23,0,0
A690062,1,3,1,15,1,5,2,0,1,1,1,0,17,46,0,2014,10,13,1,0
A672999,0,0,0,1826,57,9,1,1,0,1,2,0,11,5,0,2014,02,19,0,0
A695807,0,2,0,2921,15,17,0,0,1,1,4,0,17,0,0,2015,02,15,0,0
A697665,0,2,0,366,15,4,0,0,1,1,4,0,12,49,0,2015,03,14,0,0
A667579,0,3,1,61,1,5,2,1,1,1,1,0,15,25,0,2013,12,31,1,1
A709427,0,0,0,731,15,4,1,1,1,1,4,0,18,28,0,2015,08,13,0,0
A709067,0,0,0,151,30,5,2,1,0,1,5,0,0,0,0,2015,08,05,1,2
A676212,1,3,1,7,1,19,3,2,1,1,1,0,15,23,0,2014,04,06,1,1
A703296,0,0,0,1826,15,0,1,1,1,1,4,0,11,5,0,2015,05,23,0,0
A711045,0,3,1,731,1,7,2,1,1,1,1,0,12,27,0,2015,09,13,0,0
A694727,0,3,0,1096,30,9,1,1,0,1,5,0,11,42,0,2015,01,05,0,0
A701528,0,0,0,366,22,0,1,1,0,1,7,0,17,21,0,2015,06,24,0,0
A669246,1,3,1,366,1,5,2,1,1,1,1,0,13,9,0,2013,12,19,0,1
A717775,1,3,1,1826,1,5,2,1,1,1,1,0,12,59,0,2015,12,16,0,0
A690461,1,3,1,15,1,5,2,1,1,1,1,0,12,57,0,2014,10,21,1,0
A710873,1,1,1,31,1,7,2,1,5,1,1,0,12,5,0,2015,08,31,1,0
A683529,1,2,0,91,39,27,1,1,0,1,0,0,10,44,0,2014,09,13,1,0
A679396,0,1,0,1096,2,13,0,0,0,1,1,0,10,27,0,2014,05,24,0,0
A714200,1,3,1,91,1,11,2,0,1,1,1,0,9,0,0,2015,10,20,1,0
A640500,0,3,1,731,1,5,0,0,1,1,1,0,13,39,0,2015,06,23,0,1
A718974,0,0,0,731,17,26,0,0,0,1,6,0,11,49,0,2016,01,11,0,0
A679969,0,2,1,61,1,7,0,0,1,1,1,0,17,37,0,2014,06,12,1,0
A704143,0,1,0,731,2,5,2,0,0,1,1,0,17,51,0,2015,06,25,0,0
A715580,0,2,1,181,1,5,1,1,1,1,1,0,14,47,0,2015,12,25,1,1
A701770,1,3,1,4,1,7,3,2,1,1,1,0,16,53,0,2015,05,04,1,1
A686339,0,0,0,4381,30,4,2,0,0,1,5,0,12,17,0,2015,05,21,0,0
A704704,0,0,0,366,21,0,0,0,0,1,0,0,19,17,0,2015,06,08,0,0
A675577,1,1,1,366,1,1,2,0,1,1,1,0,14,8,0,2014,03,29,0,1
A709598,0,2,1,61,1,2,2,1,1,1,1,0,13,23,0,2015,08,29,1,1
A681104,1,1,1,2556,1,44,1,1,4,1,1,0,13,5,0,2014,06,13,0,1
A680632,1,2,1,61,1,1,1,1,5,1,1,0,13,22,0,2014,06,10,1,1
A691617,0,2,0,1096,107,28,0,0,0,1,5,0,18,46,0,2014,12,11,0,0
A670091,0,2,0,366,44,0,0,0,0,1,0,0,14,0,0,2014,01,19,0,1
A716818,0,3,0,366,13,0,0,0,0,1,0,0,18,2,0,2015,12,06,0,0
A695787,0,0,0,1096,15,0,0,0,1,1,4,0,14,36,0,2015,01,23,0,1
A694917,0,3,0,366,17,5,0,0,0,1,6,0,14,41,0,2015,02,02,0,1
A697275,0,0,0,3286,17,16,1,1,0,1,6,0,11,24,0,2015,02,21,0,0
A681527,1,3,1,121,1,5,2,1,5,1,1,0,9,0,0,2014,06,21,1,0
A670267,0,0,0,2556,17,0,1,1,0,1,6,0,16,55,0,2014,01,04,0,1
A703755,0,0,1,731,1,5,0,0,1,1,1,0,12,40,0,2015,06,01,0,0
A707943,0,2,0,31,52,5,1,1,0,1,5,0,16,50,0,2015,07,24,1,1
A705350,0,2,1,61,1,7,0,0,1,1,1,0,18,20,0,2015,07,18,1,0
A685880,0,2,0,366,2,0,1,1,0,1,1,0,15,41,0,2015,02,18,0,1
A717684,0,2,0,91,15,5,0,0,1,1,4,0,13,17,0,2015,12,17,1,1
A666320,1,2,0,731,6,10,1,1,0,1,3,0,14,48,0,2013,11,04,0,1
A702026,0,2,1,61,1,11,0,0,5,1,1,0,11,43,0,2015,07,09,1,0
A704721,1,3,1,8,1,11,3,2,1,1,1,0,16,26,0,2015,06,08,1,1
A698789,0,2,0,61,71,17,0,0,0,1,1,0,17,46,0,2015,03,22,1,0
A274546,0,2,0,4016,24,17,1,1,0,1,6,0,12,24,0,2013,11,16,0,0
A691345,0,2,0,61,38,0,1,1,0,1,0,0,14,47,0,2014,11,09,1,1
A715214,1,2,0,61,51,4,1,1,0,1,6,0,19,17,0,2015,11,04,1,0
A687741,0,3,0,366,12,12,1,1,0,1,1,0,0,0,0,2015,11,23,0,2
A686587,0,0,1,731,1,18,1,1,1,1,1,0,8,42,0,2014,08,25,0,0
A695709,0,1,0,1096,28,8,0,0,0,1,2,0,15,56,0,2015,02,22,0,1
A668449,0,0,0,731,13,28,1,1,0,1,0,0,15,16,0,2013,12,04,0,1
A669305,0,3,0,366,15,0,1,1,1,1,4,0,14,6,0,2015,04,04,0,1
A682941,0,0,0,1096,30,4,0,0,0,1,5,0,18,27,0,2015,05,22,0,0
A643541,0,2,0,2191,15,17,1,1,1,1,4,0,19,22,0,2014,05,31,0,0
A709141,0,2,0,61,15,20,0,0,1,1,4,0,17,3,0,2015,10,04,1,0
A714473,0,2,1,91,1,11,0,0,1,1,1,0,19,24,0,2015,12,20,1,0
A708738,0,2,1,366,1,14,1,1,1,1,1,0,17,1,0,2015,11,29,0,0
A699499,1,2,1,366,1,5,0,0,1,1,1,0,18,44,0,2015,04,01,0,0
A668206,0,3,1,241,1,14,1,1,1,1,1,0,15,49,0,2013,12,27,1,1
A700711,1,2,0,301,15,0,0,0,1,1,4,0,17,37,0,2015,04,27,1,0
A691694,0,1,1,3651,1,1,1,1,1,1,1,0,9,51,0,2014,11,11,0,0
A687881,1,3,1,8,1,5,2,1,1,1,1,0,15,15,0,2014,09,11,1,1
A673498,0,3,0,366,36,9,0,0,0,1,3,0,12,16,0,2014,03,07,0,0
A682994,0,2,0,1461,15,17,1,1,1,1,4,0,17,26,0,2014,07,11,0,0
A712245,1,3,1,31,1,7,2,0,1,1,1,0,15,57,0,2015,09,21,1,1
A710256,1,2,0,31,13,0,1,1,0,1,0,0,18,2,0,2015,08,24,1,0
A714041,0,2,1,121,1,7,1,1,1,1,1,0,13,42,0,2016,01,27,1,1
A696326,0,3,1,366,1,5,0,0,1,1,1,0,13,18,0,2015,02,15,0,1
A682526,0,0,0,731,82,23,2,0,0,1,3,0,17,22,0,2014,07,01,0,0
A702064,1,2,0,61,30,0,1,1,0,1,5,0,17,20,0,2015,05,10,1,0
A711260,1,2,0,31,10,5,1,1,2,1,6,0,18,34,0,2015,10,24,1,0
A707932,0,3,1,91,1,6,2,0,1,1,1,0,13,32,0,2015,07,29,1,1
A665632,1,3,0,91,17,0,0,0,0,1,6,0,11,9,0,2013,10,29,1,0
A690423,0,1,0,1461,31,5,1,1,0,1,0,0,17,9,0,2014,10,23,0,0
A674422,0,3,0,91,24,9,0,0,0,1,6,0,19,5,0,2014,03,17,1,0
A703281,0,3,1,8,1,5,3,2,1,1,1,0,14,26,0,2015,05,26,1,1
A685285,1,1,1,8,1,11,3,2,1,1,1,0,11,51,0,2014,08,05,1,0
A720557,0,2,1,1461,1,9,1,1,4,1,1,0,14,19,0,2016,02,16,0,1
A691294,0,3,0,181,20,2,1,1,0,1,0,0,16,2,0,2014,11,07,1,1
A688973,0,2,0,366,47,0,0,0,0,1,1,0,17,52,0,2014,10,05,0,0
A700309,0,4,1,91,1,5,2,1,1,1,1,0,12,43,0,2015,07,03,1,0
A683111,0,0,0,2191,13,0,1,1,0,1,0,0,13,1,0,2014,10,20,0,1
A687281,1,3,1,29,1,1,2,0,1,1,1,0,17,6,0,2014,09,04,1,0
A694060,0,3,0,331,15,32,2,0,1,1,4,0,14,36,0,2014,12,23,1,1
A706564,0,3,1,91,1,5,0,0,1,1,1,0,0,0,0,2015,07,02,1,2
A695257,1,1,1,4381,1,9,0,0,4,1,1,0,12,13,0,2015,01,12,0,0
A623762,0,2,0,2191,15,17,0,0,1,1,4,0,11,19,0,2014,03,29,0,0
A695762,0,2,0,1096,19,9,0,0,0,1,7,0,15,17,0,2015,03,15,0,1
A664612,1,3,1,731,1,5,2,1,1,1,1,0,17,48,0,2013,10,06,0,0
A716687,0,2,1,61,67,21,1,1,0,1,1,0,18,11,0,2016,01,30,1,0
A703974,0,2,0,366,57,9,1,1,0,1,2,0,14,26,0,2015,07,03,0,1
A677795,1,4,1,15,1,7,2,0,1,1,1,0,13,1,0,2014,05,02,1,1
A710288,1,2,0,301,35,31,0,0,0,1,4,0,17,8,0,2015,08,24,1,0
A701212,0,0,0,2921,37,5,2,0,0,0,5,0,15,11,0,2015,04,26,0,1
A679575,0,2,0,1096,14,12,0,0,0,1,3,0,13,39,0,2014,12,13,0,1
A685793,0,2,1,1096,1,36,1,1,1,1,1,0,14,57,0,2014,08,19,0,1
A697846,0,3,0,61,15,5,2,0,1,1,4,0,13,21,0,2015,03,05,1,1
A688160,0,1,0,731,14,0,2,0,0,1,3,0,18,15,0,2014,10,01,0,0
A707383,0,3,0,91,54,17,2,0,0,1,1,0,15,51,0,2015,07,29,1,1
A701462,0,3,0,366,15,0,1,1,1,1,4,0,15,42,0,2015,07,29,0,1
